    X[m]        Y[m]      ZGround[m]       GroundZ0[m]       Height[m]    Wspd_2D[m/s]  Wspd_3D[m/s]  Direction[º]   Turb.Intensity  
 168           204 
6.582773e+05  7.167011e+06  8.852042e+02  1.119131e-04  1.000000e+01  5.417478e+00  5.423317e+00  6.72e+01  8.915910e-02
6.582773e+05  7.167211e+06  8.871499e+02  1.000000e-04  1.000000e+01  5.819776e+00  5.825624e+00  6.68e+01  7.631636e-02
6.582773e+05  7.167411e+06  8.830424e+02  1.072890e-04  1.000000e+01  5.963906e+00  5.965247e+00  6.67e+01  9.272300e-02
6.582773e+05  7.167611e+06  8.740910e+02  2.285488e-04  1.000000e+01  5.868750e+00  5.871511e+00  6.79e+01  1.020958e-01
6.582773e+05  7.167811e+06  8.752071e+02  1.157016e-04  1.000000e+01  5.611578e+00  5.612839e+00  6.99e+01  8.883015e-02
6.582773e+05  7.168011e+06  8.635118e+02  1.000000e-04  1.000000e+01  5.513270e+00  5.513523e+00  6.98e+01  7.062910e-02
6.582773e+05  7.168211e+06  8.632158e+02  1.000000e-04  1.000000e+01  5.332271e+00  5.332276e+00  6.98e+01  7.308892e-02
6.582773e+05  7.168411e+06  8.701415e+02  1.000000e-04  1.000000e+01  5.250333e+00  5.250687e+00  6.98e+01  7.484479e-02
6.582773e+05  7.168611e+06  8.675932e+02  1.000000e-04  1.000000e+01  5.082113e+00  5.082157e+00  6.96e+01  7.831763e-02
6.582773e+05  7.168811e+06  8.633847e+02  1.000000e-04  1.000000e+01  4.837673e+00  4.838068e+00  7.11e+01  8.340503e-02
6.582773e+05  7.169011e+06  8.664754e+02  1.000000e-04  1.000000e+01  4.583414e+00  4.589116e+00  7.18e+01  8.925231e-02
6.582773e+05  7.169211e+06  8.730390e+02  1.000000e-04  1.000000e+01  5.159714e+00  5.174773e+00  6.93e+01  8.219238e-02
6.582773e+05  7.169411e+06  8.857332e+02  3.354345e-04  1.000000e+01  5.467744e+00  5.469589e+00  6.88e+01  9.781384e-02
6.582773e+05  7.169611e+06  9.058580e+02  2.348817e-03  1.000000e+01  5.317030e+00  5.317703e+00  7.01e+01  1.154165e-01
6.582773e+05  7.169811e+06  9.000183e+02  1.904177e-03  1.000000e+01  5.040074e+00  5.040341e+00  7.18e+01  1.152525e-01
6.582773e+05  7.170011e+06  8.983162e+02  7.314982e-02  1.000000e+01  4.634350e+00  4.642653e+00  7.15e+01  1.270508e-01
6.582773e+05  7.170211e+06  8.996275e+02  2.461602e-01  1.000000e+01  4.437383e+00  4.444086e+00  6.88e+01  1.696509e-01
6.582773e+05  7.170411e+06  8.971674e+02  1.045257e-01  1.000000e+01  4.648047e+00  4.649968e+00  6.91e+01  1.588266e-01
6.582773e+05  7.170611e+06  8.980645e+02  1.166379e-03  1.000000e+01  4.965373e+00  4.967016e+00  7.08e+01  1.110293e-01
6.582773e+05  7.170811e+06  8.818879e+02  4.659666e-02  1.000000e+01  5.191708e+00  5.198781e+00  7.11e+01  1.179071e-01
6.582773e+05  7.171011e+06  8.748839e+02  5.233208e-02  1.000000e+01  5.532129e+00  5.537752e+00  7.04e+01  1.065961e-01
6.582773e+05  7.171211e+06  8.697341e+02  6.923668e-03  1.000000e+01  5.401412e+00  5.403893e+00  6.92e+01  9.183467e-02
6.582773e+05  7.171411e+06  8.701873e+02  6.497654e-04  1.000000e+01  5.153840e+00  5.153907e+00  6.89e+01  8.609456e-02
6.582773e+05  7.171611e+06  8.689131e+02  2.973704e-03  1.000000e+01  4.954555e+00  4.954692e+00  7.01e+01  9.707753e-02
6.582773e+05  7.171811e+06  8.691129e+02  1.000000e-04  1.000000e+01  5.502750e+00  5.503363e+00  7.12e+01  7.402492e-02
6.582773e+05  7.172011e+06  8.691229e+02  1.000000e-04  1.000000e+01  5.821356e+00  5.821611e+00  7.19e+01  6.863978e-02
6.582773e+05  7.172211e+06  8.696163e+02  1.000000e-04  1.000000e+01  5.975805e+00  5.976823e+00  7.24e+01  6.731746e-02
6.582773e+05  7.172411e+06  8.905300e+02  3.537794e-02  1.000000e+01  6.118461e+00  6.119617e+00  7.28e+01  9.932514e-02
6.582773e+05  7.172611e+06  8.950017e+02  1.634039e-02  1.000000e+01  6.434653e+00  6.439861e+00  7.51e+01  1.003784e-01
6.582773e+05  7.172811e+06  8.993099e+02  1.573928e-02  1.000000e+01  6.296076e+00  6.296250e+00  7.82e+01  9.306558e-02
6.582773e+05  7.173011e+06  8.966829e+02  1.000000e-04  1.000000e+01  6.194541e+00  6.202836e+00  7.71e+01  8.038164e-02
6.582773e+05  7.173211e+06  9.167886e+02  1.000000e-04  1.000000e+01  6.268225e+00  6.272843e+00  7.54e+01  8.234505e-02
6.582773e+05  7.173411e+06  9.244667e+02  3.092656e-02  1.000000e+01  6.427842e+00  6.428387e+00  7.62e+01  9.810368e-02
6.582773e+05  7.173611e+06  9.290701e+02  1.733387e-02  1.000000e+01  6.768362e+00  6.768732e+00  7.78e+01  8.982557e-02
6.582773e+05  7.173811e+06  9.483665e+02  4.324332e-04  1.000000e+01  6.995939e+00  7.001140e+00  7.88e+01  7.306422e-02
6.582773e+05  7.174011e+06  9.481563e+02  6.074244e-03  1.000000e+01  6.864897e+00  6.884582e+00  7.77e+01  8.198293e-02
6.582773e+05  7.174211e+06  9.322639e+02  1.000000e-04  1.000000e+01  6.650774e+00  6.660823e+00  7.61e+01  6.010504e-02
6.582773e+05  7.174411e+06  9.201721e+02  4.201152e-04  1.000000e+01  6.238541e+00  6.239574e+00  7.40e+01  7.191810e-02
6.582773e+05  7.174611e+06  9.085368e+02  5.551265e-04  1.000000e+01  6.043359e+00  6.043437e+00  7.44e+01  6.956989e-02
6.582773e+05  7.174811e+06  8.860945e+02  8.633165e-04  1.000000e+01  5.680151e+00  5.680367e+00  7.64e+01  8.863278e-02
6.582773e+05  7.175011e+06  8.896154e+02  1.000000e-04  1.000000e+01  5.762691e+00  5.766285e+00  7.68e+01  6.278852e-02
6.582773e+05  7.175211e+06  9.038851e+02  1.000000e-04  1.000000e+01  5.680232e+00  5.684458e+00  7.64e+01  6.435217e-02
6.582773e+05  7.175411e+06  8.865994e+02  1.000000e-04  1.000000e+01  5.506441e+00  5.513011e+00  7.75e+01  8.232874e-02
6.582773e+05  7.175611e+06  8.982293e+02  5.348328e-02  1.000000e+01  5.196565e+00  5.210554e+00  7.72e+01  1.102079e-01
6.582773e+05  7.175811e+06  9.010039e+02  5.542882e-04  1.000000e+01  5.415123e+00  5.432125e+00  7.35e+01  8.348500e-02
6.582773e+05  7.176011e+06  8.936561e+02  1.076468e-04  1.000000e+01  5.563519e+00  5.563848e+00  6.93e+01  7.822024e-02
6.582773e+05  7.176211e+06  9.043992e+02  1.000000e-04  1.000000e+01  5.676827e+00  5.698132e+00  6.83e+01  7.264412e-02
6.582773e+05  7.176411e+06  9.054468e+02  7.410289e-04  1.000000e+01  5.479312e+00  5.561118e+00  7.10e+01  9.231292e-02
6.582773e+05  7.176611e+06  9.080696e+02  1.000000e-04  1.000000e+01  5.424502e+00  5.518844e+00  7.60e+01  7.670241e-02
6.582773e+05  7.176811e+06  9.152080e+02  1.000000e-04  1.000000e+01  5.274859e+00  5.329093e+00  8.02e+01  6.766392e-02
